plocha_m2,skola_m,park_m,mhd_m,lekarna_m,supermarket_m,dispozice_skore,velke_mesto,mhd_dostupnost,cenove_pasmo,mesto_Brno,mesto_Olomouc,mesto_Ostrava,mesto_Plzeň,mesto_Praha,mesto_Praha 1,mesto_Praha 10,mesto_Praha 2,mesto_Praha 3,mesto_Praha 4,mesto_Praha 5,mesto_Praha 6,mesto_Praha 7,mesto_Praha 8,mesto_Praha 9,mesto_ostatni
0.16975308641975306,0.10070961792887782,0.017728931851911277,0.14665448952124593,0.22913623721963225,0.05324106482129643,0.6666666666666666,0.0,0.30530530530530536,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.030864197530864196,0.24880728059976742,0.6436564919176929,0.00485483560853682,0.0404369835330839,0.09412188243764875,0.0,0.0,0.01001001001001001,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.0925925925925926,0.0571703483943391,0.05747864104929606,0.070947894635647,0.06608775685788032,0.01500030000600012,0.0,0.0,0.14814814814814814,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.11728395061728396,0.03457883975464058,0.026934338775019055,0.08118631032493752,0.05536325256607776,0.025680513610272206,0.33333333333333337,1.0,0.1691691691691692,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.27469135802469136,0.038507797778935975,0.10394689342585538,0.07104402999423189,0.019208067388303086,0.011060221204424089,0.6666666666666666,1.0,0.14814814814814814,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.11728395061728396,0.001463336407007978,0.0968874092495287,0.06051720822918671,0.009664058904739991,0.03538070761415229,0.33333333333333337,1.0,0.12612612612612614,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.14814814814814814,0.14234454556388565,0.0908306927118848,0.045808498365698905,0.14027891714520102,0.0608412168243365,0.33333333333333337,1.0,0.09609609609609611,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.05864197530864197,0.03301527482660466,0.08698006497934299,0.0574408767544703,0.03171331959422958,0.00616012320246405,0.0,1.0,0.12012012012012012,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.05555555555555555,0.0031672212644830214,0.056435762705065985,0.02884060757546626,0.07112987454730989,0.005700114002280047,0.0,1.0,0.060060060060060066,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.06790123456790123,0.1682435953975063,0.08888532349284024,0.13853105172082295,0.19031993437243644,0.11502230044600893,0.0,1.0,0.2892892892892893,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.15123456790123457,0.18927153910916888,0.11040471701897236,0.08450298019611614,0.20564637147601997,0.05654113082261646,0.33333333333333337,0.0,0.17617617617617617,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.033950617283950615,0.17792567052880567,0.03581886005374835,0.05133628148432994,0.03291382380599853,0.0253005060101202,0.0,1.0,0.10710710710710711,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.22839506172839508,0.1855029467185182,0.16411295174682125,0.10084599115554702,0.1786750435182777,0.11678233564671293,0.6666666666666666,1.0,0.21021021021021022,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.36419753086419754,0.12332117227278194,0.03858649873651278,0.025620073062872527,0.01676704215770624,0.004940098801976041,0.9999999999999999,1.0,0.054054054054054064,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.21296296296296297,0.05452431543920137,0.10312462396213551,0.03581042107287061,0.016466916104764005,0.0249004980099602,0.6666666666666666,1.0,0.07507507507507508,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.09876543209876541,0.03718478130136712,0.040792587541614855,0.019515477792732168,0.022209327917725445,0.019060381207624155,0.33333333333333337,1.0,0.041041041041041046,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.32407407407407407,0.07442969971535099,0.02137900605671654,0.0412901365122092,0.0678284879649453,0.08222164443288865,0.6666666666666666,0.0,0.08608608608608609,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.10185185185185185,0.30008419195766345,0.3712847458986804,0.1973658911747741,0.26937313671742136,0.20370407408148167,0.0,1.0,0.41141141141141147,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.06481481481481481,0.03219340095417552,0.10242268661505757,0.052297635070178816,0.08637627803677546,0.02338046760935219,0.0,1.0,0.10910910910910912,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.07407407407407407,0.26430260995068755,0.06963218483013117,0.06393001345895022,0.039876748234258394,0.03846076921538431,0.0,1.0,0.13313313313313316,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.1388888888888889,0.1249649200176402,0.07161766475472303,0.07791770813305135,0.0659877148402329,0.06518130362607252,0.33333333333333337,1.0,0.16216216216216217,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.09876543209876541,0.055045503748546686,0.0733825357988047,0.07911940011536245,0.04946077352488046,0.01854037080741615,0.33333333333333337,1.0,0.1651651651651652,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.1882716049382716,0.09521709497654651,0.05441017207492681,0.056431455489328985,0.08947758058384522,0.037280745614912306,0.6666666666666666,1.0,0.11811811811811812,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.12962962962962965,0.1000280639858878,0.05481127913039991,0.04475100942126515,0.19078012765361455,0.018580371607432148,0.33333333333333337,1.0,0.09309309309309309,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.13580246913580246,0.18953213326384155,0.31865950022060896,0.08200346087290906,0.25074531303147324,0.15680313606272128,0.33333333333333337,1.0,0.17117117117117117,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
