id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,photo_url,photo_path,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
sr_2502193996,Pronájem bytu 2+kk 77 m² (Podkrovní),26590,"Šlikova, Praha 6 - Břevnov",50.083523,14.376052,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_C/kcHp2YdDtDgLT0FNHGHIdWt/657f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2502193996.jpg,199.0,260.6,118.4,169.7,29.1
sr_1742450764,Pronájem bytu 2+1 55 m²,18000,"Artura Krause, Pardubice - Zelené Předměstí",50.021976,15.759637,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5BWZuTYPIGRRJEG/7232.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1742450764.jpg,167.5,141.2,158.3,284.4,297.7
sr_4136268620,Pronájem bytu 2+1 59 m²,32900,"Šporkova, Praha - Malá Strana",50.087624,14.397654,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5BWZuTBY4F9Dey8/51b7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_4136268620.jpg,382.8,545.8,36.1,152.5,97.6
sr_2497425484,Pronájem bytu 1+kk 40 m²,20900,"U Mlýnského kanálu, Praha 8 - Karlín",50.0956,14.450183,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CDciVbtEGRQ3lh/57bb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2497425484.jpg,629.3,482.3,195.7,283.9,184.4
sr_2782638156,Pronájem bytu 2+kk 58 m²,18000,"Šípková, Lysá nad Labem",50.204552,14.845274,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/kcHp2YdDtDgLT0TiLGRQyHa/d6dc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2782638156.jpg,339.4,393.9,270.1,453.4,427.1
sr_1980322636,Pronájem bytu 2+1 60 m²,22500,"Pod Čertovou skalou, Praha 8 - Libeň",50.115566,14.470904,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nPVpfd5QLLEA4WVJmXF7abh0/2bfa.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1980322636.jpg,178.1,605.5,158.6,251.7,25.3
sr_2659214156,Pronájem bytu 3+kk 53 m²,22000,"Lodžská, Praha 8 - Bohnice",50.129929,14.417927,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p8_C/nPVpfd5QLLksKHGbWF3ThYe/4a93.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2659214156.jpg,519.8,821.6,90.3,112.5,194.2
sr_449556556,Pronájem bytu 2+1 50 m² (Jednopodlažní),21000,"Jemenská, Praha 6 - Vokovice",50.098812,14.361449,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CFdAHZj5GRQvD4/8735.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_449556556.jpg,1224.2,309.9,74.9,327.7,160.4
sr_1220748108,Pronájem bytu 2+kk 53 m² (Podkrovní),1,"Špindlerův Mlýn, okres Trutnov",50.726147,15.609442,,sreality,"https://d18-a.sdn.cz/d_18/c_img_of_D/nDJ4VEZEqD86wCBCHFAJzsA/7ff8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1220748108.jpg,,249.6,148.9,282.5,101.0
sr_1791733836,Pronájem bytu 2+kk 45 m²,17500,"Rajmonova, Praha 8 - Kobylisy",50.128471,14.467328,,sreality,"https://d18-a.sdn.cz/d_18/c_img_qA_A/nCTUX1iX5CGpNZYg1GRQu3e/ed1f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_1791733836.jpg,93.4,377.5,225.9,150.2,101.1
sr_895419212,Pronájem bytu 2+1 85 m²,35000,"U lužického semináře, Praha 1 - Malá Strana",50.08733,14.408232,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_A/nCTUX1iX5BWZuTBaoF9Dmt8/04f6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_895419212.jpg,294.1,240.5,263.3,455.8,43.5
sr_2616615756,Pronájem bytu 1+kk 29 m²,19000,"Chlupáčova, Praha - Hlubočepy",50.035305,14.385779,,sreality,"https://d18-a.sdn.cz/d_18/c_img_p9_C/nCTUX1iX5CoHumEGnGFW9iw/a044.png?fl=res,400,300,3|shr,,20|jpg,90",C:\Users\Uzivatel\PycharmProjects\rental_quality_predictor\data\photos\sr_2616615756.jpg,1134.2,164.5,121.5,614.0,62.9
