id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m
1158050636,Pronájem bytu 1+kk 44 m²,16900,"Bratislavská, Praha 10 - Hostivař",50.0439,14.515306,,sreality,298.9,55.2,108.9,744.2,184.2
1933398860,Pronájem bytu 4+1 128 m²,40000,"Služská, Praha 8 - Kobylisy",50.125587,14.450299,,sreality,676.1,705.8,133.3,165.0,127.5
2214880076,Pronájem bytu 2+kk 45 m²,18000,"V jezírkách, Praha 4 - Chodov",50.026711,14.5195,,sreality,1016.1,949.7,113.3,131.5,311.5
2816033612,Pronájem bytu 2+1 49 m²,17000,"Na Václavce, Praha 5 - Smíchov",50.065571,14.397406,,sreality,569.1,499.4,141.6,419.9,106.3
2850452300,Pronájem bytu 2+kk 60 m²,25000,"Pod dvorem, Praha 6 - Veleslavín",50.09462,14.35004,,sreality,739.4,119.5,179.8,170.2,356.6
2986632012,Pronájem bytu 2+kk 45 m²,16000,"U kněžské louky, Praha 3 - Žižkov",50.094086,14.493362,,sreality,620.4,180.9,212.2,215.2,155.8
3133035340,Pronájem bytu 2+kk 55 m²,28000,"U Petřin, Praha 6 - Břevnov",50.0867,14.340384,,sreality,399.9,158.9,34.3,339.7,43.5
3248640844,Pronájem bytu 1+kk 31 m²,14000,"Ke Smíchovu, Praha 5 - Slivenec",50.020149,14.35514,,sreality,1055.1,1115.3,25.4,1967.8,84.7
3302703948,Pronájem bytu 3+kk 53 m²,19000,"Teplická, Praha 9 - Střížkov",50.124855,14.485474,,sreality,740.3,153.7,64.3,317.8,152.9
3317977932,Pronájem bytu 3+kk 100 m²,39000,"Vítězná, Praha 1 - Malá Strana",50.081207,14.406137,,sreality,692.6,251.9,68.8,595.0,76.0
3750544204,Pronájem bytu 3+1 93 m²,48900,"Bolzanova, Praha 1 - Nové Město",50.085979,14.435782,,sreality,384.2,702.4,20.9,332.0,141.3
4018430796,Pronájem bytu 1+kk 30 m²,13000,"Mikulova, Praha 4 - Chodov",50.029869,14.514223,,sreality,1185.8,855.2,230.4,433.0,147.3
2692957004,Pronájem bytu 1+kk 32 m²,19900,"Poděbradská, Praha 9 - Hloubětín",50.103493,14.524043,,sreality,775.0,708.4,55.6,970.2,269.9
4035134284,Pronájem  pokoje 84 m²,5000,"Bayerova, Brno - Veveří",49.207886,16.601278,,sreality,19.5,284.7,158.5,193.1,126.1
1548501836,Pronájem  pokoje 15 m²,9990,"Vybíralova, Praha 9 - Černý Most",50.103989,14.57938,,sreality,62.5,74.3,192.1,605.8,189.0
75252556,Pronájem bytu 2+1 46 m²,20990,"Plzeňská, Praha 5 - Smíchov",50.072472,14.395679,,sreality,370.0,423.8,169.8,450.5,25.4
3684516684,Pronájem bytu 1+kk 28 m²,12990,"Ronkova, Praha 8 - Libeň",50.105648,14.476738,,sreality,730.2,78.4,95.0,264.5,233.1
1963811660,Pronájem bytu 3+kk 84 m²,33990,Praha 5 - Košíře,50.066917,14.362328,,sreality,610.0,660.9,114.7,617.0,349.2
2172863308,Pronájem bytu 1+1 32 m²,10900,"Jílová, Olomouc - Neředín",49.59029,17.229652,,sreality,141.9,112.1,173.2,273.4,300.6
4288308044,Pronájem bytu 3+1 92 m²,22990,"Pod strání, Praha 10 - Strašnice",50.069012,14.501375,,sreality,127.1,223.7,336.9,244.6,227.2
3125244748,Pronájem bytu 2+kk 42 m² (Jednopodlažní),19900,"Tatarkova, Praha 4 - Háje",50.029076,14.527884,,sreality,437.9,870.8,164.5,211.5,104.7
949506892,Pronájem bytu 1+kk 34 m² (Jednopodlažní),17300,"Modrého, Praha 9 - Hloubětín",50.105743,14.523801,,sreality,741.0,521.7,220.0,965.5,328.6
2961789772,Pronájem bytu 2+kk 79 m²,35000,"Mlýnská, Praha 6 - Bubeneč",50.108467,14.405503,,sreality,207.3,582.4,155.8,847.1,597.5
